[ 1108.545847]  logcat
I/EthernetStateTracker(  973): IntentBroadcast, event=5
I/EthernetStateTracker(  973): reset device eth0
I/EthernetStateTracker(  973): trigger dhcp for device eth0
E/EthernetStateTracker(  973): DhcpHandler: DHCP request failed: DHCP result was failed
V/EthernetMonitor(  973): get event 
V/EthernetMonitor(  973): go poll events
I/ActivityManager(  973): Start proc com.iflytek.xiri.recorder.svc for service com.iflytek.xiri.recorder.svc/.PCMRecorderSvc: pid=1635 uid=10031 gids={3003, 1015}
I/ActivityManager(  973): Start proc com.android.phone for content provider com.android.providers.telephony/.TelephonyProvider: pid=1653 uid=1001 gids={1015}
D/EthernetStateTracker(  973): DhcpHandler: DHCP request started
I/ActivityManager(  973): Start proc com.iflytek.speech for service com.iflytek.speech/.SpeechService: pid=1675 uid=10027 gids={1015, 3003, 1007}
I/EthernetStateTracker(  973): configureInterfaceAutoIP : ipaddr 169.254.1.43 gateway 0.0.0.0 netmask 255.255.0.0 dns1 0.0.0.0 dns2 0.0.0.0 DHCP server 0.0.0.0 lease 0 seconds
V/EthernetMonitor(  973): get event eth0:20:
V/EthernetMonitor(  973): dev: eth0 ev 20
I/EthernetStateTracker(  973): report new state CONNECTED on dev eth0
V/EthernetStateTracker(  973): update network state tracker
V/EthernetStateTracker(  973): configureInterfaceAutoIP succeeded
V/EthernetMonitor(  973): go poll events
I/EthernetStateTracker(  973): received HW connected, stack=false CC=true
V/EthernetMonitor(  973): get event 
V/EthernetMonitor(  973): go poll events
I/ActivityManager(  973): Start proc com.coship.TestApp for broadcast com.coship.TestApp/.BootCompletedReceiver: pid=1726 uid=1000 gids={3003, 1015, 3002, 3001, 3004}
D/ConnectivityService(  973): ConnectivityChange for WIFI: CONNECTED/CONNECTED
D/ConnectivityService(  973): ConnectivityChange for WIFI: CONNECTED/CONNECTED
D/ConnectivityService(  973): handleConnectivityChange: address are the same reset per doReset linkProperty[1]: resetMask=0
I/ActivityManager(  973): Start proc com.coship.startwizard for broadcast com.coship.startwizard/.service.BootBroadcastReceiver: pid=1744 uid=1000 gids={3003, 1015, 3002, 3001, 3004}
I/ActivityManager(  973): Start proc com.coship.stpservice for service com.coship.stpservice/.StpService: pid=1757 uid=1000 gids={3003, 1015, 3002, 3001, 3004}
I/ActivityManager(  973): Start proc com.biaoqi.stbwidget.host for broadcast com.biaoqi.stbwidget.host/.NetworkStatusChangeReceiver: pid=1787 uid=10029 gids={3003}
