--------- beginning of /dev/log/system
03-24 22:30:59.832 W/PackageManager(  380): Not granting permission android.permission.DELETE_PACKAGES to package com.qihoo.appstore (protectionLevel=18 flags=0xbe44)
03-24 22:30:59.832 W/PackageManager(  380): Not granting permission android.permission.CLEAR_APP_USER_DATA to package com.qihoo.appstore (protectionLevel=2 flags=0xbe44)
03-24 22:30:59.832 W/PackageManager(  380): Not granting permission android.permission.ACCESS_CACHE_FILESYSTEM to package com.qihoo.appstore (protectionLevel=18 flags=0xbe44)
03-24 22:30:59.832 W/PackageManager(  380): Unknown permission android.permission.READ_OWNER_DATA in package com.qihoo.appstore
03-24 22:30:59.832 W/PackageManager(  380): Unknown permission android.permission.WRITE_OWNER_DATA in package com.qihoo.appstore
03-24 22:30:59.832 W/PackageManager(  380): Unknown permission com.htc.launcher.permission.READ_SETTINGS in package com.qihoo.appstore
03-24 22:30:59.832 W/PackageManager(  380): Not granting permission android.permission.DEVICE_POWER to package com.qihoo.appstore (protectionLevel=2 flags=0xbe44)
03-24 22:30:59.832 W/PackageManager(  380): Unknown permission android.permission.WIFI_STATE_CHANGED in package com.tencent.news
03-24 22:30:59.832 W/PackageManager(  380): Unknown permission com.android.launcher2.permission.READ_SETTINGS in package com.tencent.news
03-24 22:30:59.832 W/PackageManager(  380): Unknown permission android.permission.READ_SETTINGS in package com.android.filelist
03-24 22:30:59.832 W/PackageManager(  380): Unknown permission android.permission.READ_MEDIA in package com.android.filelist
03-24 22:30:59.832 W/PackageManager(  380): Not granting permission android.permission.DEVICE_POWER to package com.android.filelist (protectionLevel=2 flags=0x8be45)
03-24 22:30:59.832 W/PackageManager(  380): Unknown permission com.android.nfc.permission.NFCEE_ADMIN in package org.simalliance.openmobileapi.service
03-24 22:30:59.832 W/PackageManager(  380): Unknown permission android.permission.ACCESS_COARSE_UPDATES in package com.sina.weibo
03-24 22:30:59.832 W/PackageManager(  380): Not granting permission android.permission.READ_LOGS to package com.wandoujia.phoenix2 (protectionLevel=50 flags=0x8be44)
03-24 22:30:59.832 W/PackageManager(  380): Unknown permission com.android.launcher.permission.CREATE_SHORTCUT in package com.wandoujia.phoenix2
03-24 22:30:59.832 W/PackageManager(  380): Not granting permission android.permission.BROADCAST_PACKAGE_REMOVED to package com.wandoujia.phoenix2 (protectionLevel=2 flags=0x8be44)
03-24 22:30:59.832 W/PackageManager(  380): Unknown permission org.adw.launcher.permission.READ_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.832 W/PackageManager(  380): Unknown permission org.adw.launcher.permission.WRITE_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.832 W/PackageManager(  380): Unknown permission com.qihoo360.launcher.permission.READ_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.832 W/PackageManager(  380): Unknown permission com.qihoo360.launcher.permission.WRITE_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.832 W/PackageManager(  380): Unknown permission com.lge.launcher.permission.READ_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.832 W/PackageManager(  380): Unknown permission com.lge.launcher.permission.WRITE_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.842 I/SystemServer(  380): Wi-Fi P2pService
03-24 22:30:59.842 W/PackageManager(  380): Unknown permission net.qihoo.launcher.permission.READ_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.842 W/PackageManager(  380): Unknown permission net.qihoo.launcher.permission.WRITE_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.842 W/PackageManager(  380): Unknown permission org.adwfreak.launcher.permission.READ_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.842 W/PackageManager(  380): Unknown permission org.adwfreak.launcher.permission.WRITE_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.842 W/PackageManager(  380): Unknown permission com.huawei.launcher3.permission.READ_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.842 W/PackageManager(  380): Unknown permission com.huawei.launcher3.permission.WRITE_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.842 W/PackageManager(  380): Unknown permission com.fede.launcher.permission.READ_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.842 W/PackageManager(  380): Unknown permission com.fede.launcher.permission.WRITE_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.842 W/PackageManager(  380): Unknown permission com.sec.android.app.twlauncher.settings.READ_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.842 W/PackageManager(  380): Unknown permission com.sec.android.app.twlauncher.settings.WRITE_SETTINGS in package com.wandoujia.phoenix2
03-24 22:30:59.842 W/PackageManager(  380): Not granting permission android.permission.INSTALL_PACKAGES to package com.wandoujia.phoenix2 (protectionLevel=18 flags=0x8be44)
03-24 22:30:59.842 W/PackageManager(  380): Not granting permission android.permission.ACCESS_DRM to package com.wandoujia.phoenix2 (protectionLevel=2 flags=0x8be44)
03-24 22:30:59.842 W/PackageManager(  380): Unknown permission com.google.android.googleapps.permission.ACCESS_GOOGLE_PASSWORD in package com.android.development
03-24 22:30:59.842 W/PackageManager(  380): Unknown permission android.permission.READ_OWNER_DATA in package com.nd.assistance
03-24 22:30:59.842 W/PackageManager(  380): Unknown permission android.permission.WRITE_OWNER_DATA in package com.nd.assistance
03-24 22:30:59.842 W/PackageManager(  380): Not granting permission android.permission.DEVICE_POWER to package com.nd.assistance (protectionLevel=2 flags=0x8c44)
03-24 22:30:59.842 W/PackageManager(  380): Not granting permission android.permission.ACCESS_ALL_DOWNLOADS to package com.android.email (protectionLevel=2 flags=0x8be45)
03-24 22:30:59.842 W/PackageManager(  380): Unknown permission android.permission.ADD_SYSTEM_SERVICE in package com.hiapk.marketpho
03-24 22:30:59.842 W/PackageManager(  380): Not granting permission android.permission.DEVICE_POWER to package com.android.deskclock (protectionLevel=2 flags=0x8be45)
